rdf ID,rdf Label1,rdf Label2,rdf comment,rdf-class,rdf-class
BF,BF,Berufsfeuerwehr,,Hilfsorganisation,
BtF,BtF,Betriebsfeuerwehr,,Hilfsorganisation,
BetrFW,BetrFW,Betriebsfeuerwehr,,Hilfsorganisation,
FF,FF,Freiwillige Feuerwehr,,Hilfsorganisation,
Fw,Fw,Feuerwehr,,Hilfsorganisation,
JF,JF,Jugendfeuerwehr,,Hilfsorganisation,
PF,PF,Pflichtfeuerwehr,,Hilfsorganisation,
WF1,WF,Werkfeuerwehr,,Hilfsorganisation,
AGBB,AGBB,Arbeitsgemeinschaft Betrieblicher Brandschutz,,Institution,
AGBF,AGBF,Arbeitsgemeinschaft der Leiter der Berufsfeuerwehren,,Institution,
AGS,AGS,Ausschuß für Gefahrstoffe,,Institution,
BVRD,BVRD,Berufsverband für den Rettungsdienst,,Institution,
CTIF,CTIF,Internationales technisches Komitee für vorbeugenden Brandschutz und Feuerlöschwesen,,Institution,
DFM,DFM,Deutsches Feuerwehrmuseum,,Institution,
DFV,DFV,Deutscher Feuerwehrverband,,Institution,
DJF,DJF,Deutsche Jugendfeuerwehr,,Institution,
FFG,FFG,Fachgemeinschaft Feuerwehrfahrzeuge und -geräte,,Institution,
FNFW,FNFW,Fachnormausschuß Feuerwehrwesen,,Institution,
FUK,FUK,Feuerwehrunfallkasse,,Institution,
KFV,KFV,Kreisfeuerwehrverband,,Institution,
LFV,LFV,Landesfeuerwehrverband,,Institution,
TUIS,TUIS,"Transport-, Unfall-, Informations- und Hilfeleistungssystem der chemischen Industrie",,Institution,
UAFeu,UAFeu,"Unterausschuß ""Feuerwehrangelegenheiten"" der IMK",,Institution,
VDRS,VDRS,Verband deutscher Rettungssanitäter,,Institution,
vfdb,vfdb,Vereinigung zur Förderung des Deutschen Brandschutzes,,Institution,
WFV,WFV,Werkfeuerwehrverband,,Institution,
ASB,ASB,Arbeiter-Samariter-Bund,,Hilfsorganisation,
BGS,BGS,Bundesgrenzschutz (Rettungshubschrauber),,Hilfsorganisation,
BRK,BRK,Bayrisches Rotes Kreuz,,Hilfsorganisation,
BVS,BVS,Bundesverband für Selbstschutz,,Institution,
BZS,BZS,Bundesverband für Zivilschutz,,Institution,
DGzRS,DGzRS,Deutsche Gesellschaft zur Rettung Schifbrüchiger,,Institution,
DLRG,DLRG,Deutsche Lebens-Rettungs-Gesellschaft,,Hilfsorganisation,
DRF,DRF,Deutsche Rettungsflugwacht,,Institution,
DRK,DRK,Deutsches Rotes Kreuz,,Institution,
JUH,JUH,Johanniter-Unfall-Hilfe,,Hilfsorganisation,
KatHD,KatHD,Katastrophen-Hilfsdienst,,Hilfsorganisation,
KatS,KatS,Katastrophenschutz,,Hilfsorganisation,
MHD,MHD,Malteser-Hilfsdienst,,Hilfsorganisation,
Pol,Pol,Polizei,,Hilfsorganisation,
SAR,SAR,Flugrettungsdienst der BRD bzw US-Army (Search And Rescue),,Hilfsorganisation,
SRD,SRD,Spezieller Rettungsd. (zur Rettung von Personen aus großen Höhen),,Hilfsorganisation,
THW,THW,Technisches Hilfswerk,,Hilfsorganisation,
WD,WD,Warndienst,,Institution,
WW2,WW,Wasserwacht im DRK,,Hilfsorganisation,
ZB1,ZB,Ziviler Bevölkerungsschutz,,Hilfsorganisation,
Bdir,Bdir,Branddirektion,,Einrichtung,
FW1,FW,Feuerwache,,Einrichtung,
FH,FH,Feuerwehrhaus,,Einrichtung,
